Rank,Fighter,Fights,Average Opponent Rating,Highest Rated Opponent
606,Tina Lähdemäki,1,2402,Claudia Gadelha (2014-07-16)
607,Rony Jason,6,2402,Dennis Bermudez (2016-08-06)
608,Adlan Amagov,2,2402,TJ Waldburger (2013-10-19)
609,Maryna Moroz,6,2402,Joanne Calderwood (2015-04-11)
610,Chris Wilson,4,2402,Jon Fitch (2008-03-01)
611,Jason Brilz,7,2402,Antonio Rogerio Nogueira (2010-05-29)
612,Nico Musoke,6,2401,Albert Tumenov (2015-01-24)
613,Ricky Rainey,1,2401,Muslim Salikhov (2018-04-14)
614,Jeremy Kennedy,4,2401,Alexander Volkanovski (2018-02-11)
615,Renato Verissimo,3,2400,Matt Hughes (2004-06-19)
616,Andrew Craig,7,2400,Lyman Good (2015-07-15)
617,Nick Roehrick,1,2400,Jared Cannonier (2017-07-07)
618,John Makdessi,15,2399,Donald Cerrone (2015-05-23)
619,Jeremy Horn,13,2399,Chuck Liddell (2005-08-20)
620,Rodrigo Damm,7,2399,Rashid Magomedov (2014-05-31)
621,Tyson Griffin,14,2399,Sean Sherk (2008-10-25)
622,Rob Yundt,2,2399,Ricardo Almeida (2008-02-02)
623,Jorge Santiago,6,2399,Demian Maia (2011-10-08)
624,Ion Cutelaba,5,2399,Gadzhimurad Antigulov (2018-07-28)
625,Curtis Millender,2,2398,Max Griffin (2018-07-07)
626,Antonio Carlos Junior,10,2398,Tim Boetsch (2018-04-14)
627,Chris Wade,7,2398,Rustam Khabilov (2016-05-08)
628,Takenori Sato,2,2398,Erick Silva (2014-02-15)
629,Julian Erosa,2,2398,Marcin Wrzosek (2015-12-11)
630,Michel Prazeres,11,2398,Zak Cummings (2018-05-19)
631,Rafael Natal,17,2397,Robert Whittaker (2016-04-23)
632,Brian Johnston,6,2397,Ken Shamrock (1996-12-07)
633,Douglas Silva de Andrade,5,2397,Rob Font (2017-07-08)
634,Jennifer Maia,1,2397,Liz Carmouche (2018-07-14)
635,Tamdan McCrory,9,2396,Akihiro Gono (2007-11-17)
636,Saparbek Safarov,2,2396,Tyson Pedro (2018-02-11)
637,Vagner Rocha,4,2396,Donald Cerrone (2011-06-11)
638,Gregor Gillespie,5,2396,Vinc Pichel (2018-06-01)
639,Akira Corassani,6,2396,Dustin Poirier (2014-04-16)
640,Hayato Sakurai,1,2395,Matt Hughes (2002-03-22)
641,Benito Lopez,1,2395,Albert Morales (2017-12-09)
642,Jason Day,3,2395,Michael Bisping (2008-06-07)
643,Omari Akhmedov,9,2395,Gunnar Nelson (2014-03-08)
644,Garreth McLellan,5,2395,Magnus Cedenblad (2016-05-08)
645,Ricardo Ramos,3,2395,Kyung Ho Kang (2018-08-04)
646,Nick Penner,2,2395,Cody Donovan (2012-12-15)
647,Efrain Escudero,12,2395,Leonardo Santos (2014-09-13)
648,Travis Lutter,6,2395,Rich Franklin (2008-04-19)
649,Jason Gonzalez,3,2395,Gregor Gillespie (2017-09-16)
650,Shane Campbell,5,2395,Elias Silverio (2015-08-23)
651,Miguel Torres,4,2395,Demetrious Johnson (2011-05-28)
652,Dan Hooker,10,2395,Marc Diakiese (2017-12-30)
653,Wes Sims,3,2395,Frank Mir (2004-01-31)
654,Fabricio Camoes,6,2395,Jim Miller (2013-12-28)
655,Jim Mullen,1,2394,Scott Ferrozzo (1997-02-07)
656,Juliana Lima,7,2394,Tecia Torres (2017-07-07)
657,Hermes Franca,11,2394,Sean Sherk (2007-07-07)
658,Nick Ring,6,2394,Riki Fukuda (2011-02-27)
659,Jake O'Brien,7,2394,Andrei Arlovski (2008-03-01)
660,Keith Hackney,4,2394,Royce Gracie (1994-12-16)
661,Raquel Pennington,9,2393,Amanda Nunes (2018-05-12)
662,William Macario,4,2393,Neil Magny (2014-10-25)
663,Sean Salmon,2,2393,Rashad Evans (2007-01-25)
664,Carlos Diego Ferreira,6,2393,Dustin Poirier (2015-04-04)
665,Jessica Eye,9,2393,Alexis Davis (2014-02-22)
666,Damian Stasiak,6,2392,Pingyuan Liu (2018-07-22)
667,Rani Yahya,15,2392,Chad Mendes (2011-08-06)
668,Yaotzin Meza,7,2392,Chad Mendes (2012-12-15)
669,Ryo Chonan,4,2392,Karo Parisyan (2007-11-17)
670,Yui Chul Nam,3,2392,Phillipe Nover (2015-05-16)
671,Brad Pickett,14,2392,Urijah Faber (2016-12-17)
672,Bojan Mihajlovic,3,2392,Abdul-Kerim Edilov (2017-09-02)
673,Leonardo Mafra,4,2392,Rick Story (2014-07-16)
674,Marcio Alexandre Jr.,3,2392,Warlley Alves (2014-05-31)
675,Melvin Guillard,22,2391,Donald Cerrone (2012-08-11)
676,Chris Gruetzemacher,4,2391,Chas Skelly (2017-02-04)
677,Soa Palelei,7,2390,Ruan Potts (2014-05-10)
678,Jeff Monson,7,2390,Tim Sylvia (2006-11-18)
679,James Te Huna,10,2390,Glover Teixeira (2013-05-25)
680,Randa Markos,10,2390,Marina Rodriguez (2018-09-22)
681,Chris Dempsey,4,2390,Jonathan Wilson (2015-08-08)
682,Mike Wessel,1,2390,Antoni Hardonk (2008-12-27)
683,Matt Veach,3,2389,Frankie Edgar (2009-12-05)
684,Akihiro Gono,3,2389,Jon Fitch (2009-01-31)
685,Ricco Rodriguez,7,2389,Randy Couture (2002-09-27)
686,Goran Reljic,4,2389,Wilson Gouveia (2008-05-24)
687,Ikuhisa Minowa,1,2389,Joe Slick (2000-04-14)
688,Reza Madadi,7,2389,Yoislandy Izquierdo (2012-04-14)
689,Sergio Pettis,12,2389,Joseph Benavidez (2018-06-09)
690,Mike Swick,15,2388,Yushin Okami (2007-04-07)
691,Akbarh Arreola,4,2388,Tiago Trator (2014-07-26)
692,K.J. Noons,6,2388,Donald Cerrone (2013-05-25)
693,Claude Patrick,4,2388,Brian Ebersole (2011-12-10)
694,Chase Sherman,7,2388,Augusto Sakai (2018-09-22)
695,Brian Houston,2,2387,Derek Brunson (2013-11-06)
696,Ricardo Almeida,11,2387,Matt Hughes (2010-08-07)
697,Ivan Salaverry,7,2387,Nate Marquardt (2005-08-06)
698,Alex Perez,3,2387,Jose Torres (2018-08-04)
699,Francisco Rivera,11,2387,Urijah Faber (2014-12-06)
700,Court McGee,13,2386,Ryan LaFlare (2013-12-14)
701,Cathal Pendred,6,2386,Tom Breese (2015-10-24)
702,Tyson Pedro,5,2386,Ovince Saint Preux (2018-06-23)
703,Lyman Good,2,2386,Elizeu Zaleski dos Santos (2017-07-22)
704,Julianna Pena,5,2386,Valentina Shevchenko (2017-01-28)
705,Kwan Ho Kwak,2,2386,Brett Johns (2016-11-19)
706,George Sullivan,7,2386,Alexander Yakovlev (2016-01-30)
707,Erik Koch,9,2385,Ricardo Lamas (2013-01-26)
708,Hans Stringer,3,2385,Fabio Maldonado (2014-10-25)
709,JJ Aldrich,4,2385,Polyana Viana (2018-08-04)
710,Jacob Volkmann,10,2385,Bobby Green (2013-02-02)
711,Júnior Albini,3,2385,Timothy Johnson (2017-07-22)
712,Bryce Mitchell,1,2384,Tyler Diamond (2018-07-06)
713,James Bochnovic,2,2384,Markus Perez (2018-05-12)
714,Chan-Mi Jeon,2,2384,Syuri Kondo (2017-09-23)
715,Chad Laprise,9,2383,Vicente Luque (2018-05-19)
716,Ron Stallings,3,2383,Uriah Hall (2015-01-18)
717,Kazuki Tokudome,4,2383,Yui Chul Nam (2014-03-01)
718,Kalib Starnes,5,2383,Yushin Okami (2006-10-14)
719,Matheus Nicolau,4,2382,Dustin Ortiz (2018-07-28)
720,Shawn Jordan,10,2382,Mike Russow (2013-01-26)
721,Ed Herman,20,2382,Jake Shields (2012-08-11)
722,Valerie Letourneau,6,2382,Joanna Jedrzejczyk (2015-11-15)
723,Gilbert Burns,9,2382,Rashid Magomedov (2015-11-07)
724,Darren Uyenoyama,4,2381,Joseph Benavidez (2013-04-20)
725,Veronica Macedo,2,2381,Andrea Lee (2018-05-19)
726,Brandon Melendez,1,2381,Joe Lauzon (2007-06-23)
727,Lavar Johnson,4,2380,Stefan Struve (2012-05-26)
728,Michinori Tanaka,5,2380,Rani Yahya (2016-09-24)
729,Cory Sandhagen,2,2380,Iuri Alcantara (2018-08-25)
730,Jodie Esquibel,2,2380,Karolina Kowalkiewicz (2017-10-21)
731,Valmir Lazaro,3,2379,James Krause (2015-02-28)
732,Kiichi Kunimoto,5,2379,Neil Magny (2015-02-14)
733,Joe Doerksen,9,2379,Nate Marquardt (2006-03-04)
734,Andre Fili,11,2379,Dennis Bermudez (2018-01-27)
735,Marvin Eastman,5,2379,Quinton Jackson (2007-02-03)
736,Steve Lopez,2,2379,Jim Miller (2009-09-19)
737,George Sotiropoulos,11,2378,Joe Stevenson (2010-02-21)
738,Frankie Saenz,8,2378,Urijah Faber (2015-12-12)
739,Neil Seery,7,2378,Kyoji Horiguchi (2016-05-08)
740,Daniel Roberts,7,2378,John Howard (2010-03-21)
741,Caol Uno,10,2378,B.J. Penn (2003-02-28)
742,Jason Godsey,2,2377,Jeremy Horn (1999-09-24)
743,Johnny Bedford,6,2377,Rani Yahya (2014-04-11)
744,Steve Vigneault,1,2377,Mike Swick (2006-03-04)
745,Justin Ledet,4,2377,Mark Godbeer (2016-11-19)
746,Jessica Penne,4,2377,Joanna Jedrzejczyk (2015-06-20)
747,Paul Buentello,6,2376,Andrei Arlovski (2005-10-07)
748,Paul Redmond,2,2376,Mirsad Bektic (2015-01-24)
749,Leo Kuntz,2,2376,Islam Makhachev (2015-05-23)
750,Riki Fukuda,5,2375,Costas Philippou (2012-07-07)
751,Roger Bowling,3,2375,Abel Trujillo (2013-08-28)
752,Chris Kelades,4,2375,Ray Borg (2015-02-14)
753,Paul Sass,5,2375,Jacob Volkmann (2012-05-26)
754,Randy Brown,7,2375,Niko Price (2018-07-14)
755,Pat Barry,12,2375,Mirko Cro Cop (2010-06-12)
756,Josh Clopton,2,2375,Rani Yahya (2013-08-03)
757,Luke Barnatt,6,2375,Sean Strickland (2014-05-31)
758,Peter Sobotta,9,2375,Leon Edwards (2018-03-17)
759,David Bielkheden,3,2374,Diego Sanchez (2008-03-01)
760,Nate Quarry,10,2374,Rich Franklin (2005-11-19)
761,Jordan Johnson,4,2373,Adam Yandiev (2018-09-15)
762,Frank Camacho,4,2373,Li Jingliang (2017-06-17)
763,Joaquim Silva,4,2373,Andrew Holbrook (2016-07-08)
764,Abel Trujillo,11,2372,Khabib Nurmagomedov (2013-05-25)
765,Mike Rodriguez,1,2372,Devin Clark (2018-04-07)
766,Bruno Rodrigues,1,2372,Matheus Nicolau (2015-11-07)
767,Greg Stott,1,2372,Mark Kerr (1997-10-17)
768,Ketlen Vieira,4,2372,Sara McMann (2017-09-09)
769,Mairbek Taisumov,8,2372,Alan Patrick (2015-06-20)
770,Louis Smolka,10,2372,Neil Seery (2015-07-11)
771,Justin Scoggins,9,2371,Said Nurmagomedov (2018-07-14)
772,Charles Byrd,2,2371,John Phillips (2018-03-17)
773,Ryan Hall,2,2371,Artem Lobov (2015-12-11)
774,Joanne Calderwood,7,2371,Seo Hee Ham (2014-12-12)
775,Bobby Hoffman,3,2370,Josh Barnett (2001-11-02)
776,Michael McBride,2,2370,Nik Lentz (2016-09-10)
777,Nicco Montaño,1,2370,Roxanne Modafferi (2017-12-01)
778,Alejandro Perez,9,2370,Matthew Lopez (2018-04-14)
779,Peggy Morgan,1,2369,Jessamyn Duke (2013-11-30)
