Rank,Fighter,Fights,Average Opponent Rating,Highest Rated Opponent
907,Jutaro Nakao,2,2347,Tony DeSouza (2001-09-28)
908,Antonio Braga Neto,3,2346,Trevin Giles (2017-12-09)
909,Michał Oleksiejczuk,1,2346,Khalil Rountree Jr. (2017-12-30)
910,Nazareno Malegarie,1,2346,Joaquim Silva (2015-09-05)
911,Eddie Sanchez,6,2346,Mirko Cro Cop (2007-02-03)
912,Phillip Miller,2,2346,Mark Weir (2002-11-22)
913,Ronny Markes,5,2346,Andrew Craig (2013-01-19)
914,Brock Jardine,2,2346,Rick Story (2012-06-22)
915,Abner Lloveras,1,2345,Chris Gruetzemacher (2015-12-11)
916,Alessandro Ricci,2,2345,Paul Felder (2017-02-19)
917,Jared Gordon,3,2345,Carlos Diego Ferreira (2018-02-18)
918,Hernani Perpétuo,2,2345,Jordan Mein (2014-04-19)
919,Sean Spencer,8,2345,Cathal Pendred (2015-01-18)
920,Daniel Omielanczuk,9,2345,Stefan Struve (2016-10-08)
921,Lance Gibson,2,2345,Evan Tanner (2000-12-16)
922,Jesse Lennox,3,2345,Danillo Villefort (2009-08-08)
923,Chico Camus,8,2345,Kyoji Horiguchi (2015-09-27)
924,Tom Niinimaki,4,2344,Rani Yahya (2013-11-30)
925,Mike Lullo,2,2344,Edson Barboza (2010-11-20)
926,Tomasz Drwal,6,2344,Rousimar Palhares (2010-03-27)
927,Brian Bowles,4,2343,Urijah Faber (2011-11-19)
928,Roger Huerta,8,2343,Gray Maynard (2009-09-16)
929,Cynthia Calvillo,4,2343,Carla Esparza (2017-12-30)
930,Arnold Allen,4,2343,Makwan Amirkhani (2017-03-18)
931,Kendall Grove,13,2342,Demian Maia (2010-12-04)
932,Rex Holman,1,2342,Matt Hamill (2007-03-03)
933,Magomed Ankalaev,2,2342,Marcin Prachnio (2018-09-15)
934,Jonathan Meunier,2,2342,Colby Covington (2016-06-18)
935,Brian Melancon,2,2342,Seth Baczynski (2013-07-06)
936,Mara Borella,2,2342,Katlyn Chookagian (2018-01-27)
937,Dan Lauzon,3,2341,Spencer Fisher (2006-10-14)
938,Ruslan Magomedov,3,2341,Shawn Jordan (2015-10-03)
939,Nolan Ticman,2,2341,Frankie Saenz (2014-08-16)
940,Dokonjonosuke Mishima,2,2341,Joe Stevenson (2006-11-18)
941,Aaron Brink,1,2341,Andrei Arlovski (2000-11-17)
942,Galore Bofando,2,2340,Chad Laprise (2017-12-16)
943,Davey Grant,4,2340,Manny Bermudez (2018-07-22)
944,Marc Diakiese,6,2340,Drakkar Klose (2017-07-07)
945,Justin Willis,3,2340,Allen Crowder (2017-12-02)
946,John Hathaway,9,2340,Dong Hyun Kim (2014-03-01)
947,Clay Collard,4,2340,Max Holloway (2014-08-23)
948,Lauren Murphy,6,2340,Barb Honchak (2017-12-01)
949,Rodrigo de Lima,2,2340,Neil Magny (2014-06-28)
950,Floyd Sword,1,2340,Thales Leites (2007-06-23)
951,Tim Credeur,5,2339,Nate Quarry (2009-09-16)
952,Joey Gambino,2,2339,Steven Siler (2012-06-22)
953,Tom Watson,7,2339,Stanislav Nedkov (2013-02-16)
954,David Loiseau,9,2339,Rich Franklin (2006-03-04)
955,Rafaello Oliveira,8,2339,Gleison Tibau (2011-05-28)
956,Dustin Hazelett,10,2339,Josh Koscheck (2008-03-01)
957,Dan Evensen,2,2338,Cheick Kongo (2008-08-09)
958,Mark Hominick,7,2338,Jose Aldo (2011-04-30)
959,Damien Brown,6,2338,Dong Hyun Kim (2018-02-11)
960,Viviane Pereira,4,2338,Xiaonan Yan (2018-06-23)
961,Mizuto Hirota,6,2338,Alexander Volkanovski (2017-06-11)
962,Felipe Silva,3,2338,Mairbek Taisumov (2017-09-02)
963,Justin Levens,2,2338,Evan Tanner (2006-04-15)
964,Eliot Marshall,6,2338,Vladimir Matyushenko (2010-03-21)
965,Marcel Fortuna,3,2338,Jordan Johnson (2017-07-07)
966,Matt Lindland,12,2338,Pat Miletich (2002-03-22)
967,Michael Patt,2,2337,Brandon Vera (2009-03-07)
968,Angela Magana,3,2337,Tecia Torres (2014-12-12)
969,Ben Alloway,3,2337,Ryan LaFlare (2013-04-06)
970,Roxanne Modafferi,3,2337,Nicco Montaño (2017-12-01)
971,Justin McCully,4,2337,Gabriel Gonzaga (2008-07-05)
972,Julian Marquez,2,2337,Alessio Di Chirico (2018-07-06)
973,Rich Attonito,5,2337,David Branch (2010-12-04)
974,David Hood,1,2337,Scott Bessac (1995-09-08)
975,Steven Peterson,2,2337,Matt Bessette (2018-07-06)
976,Hector Urbina,3,2336,Bartosz Fabiński (2015-11-21)
977,Antonio dos Santos Jr.,2,2336,Scott Askham (2015-06-20)
978,Polyana Viana,2,2336,JJ Aldrich (2018-08-04)
979,Shane del Rosario,2,2336,Stipe Miocic (2012-05-26)
980,Antonio McKee,1,2336,Jacob Volkmann (2011-01-01)
981,Mike Massenzio,7,2336,Rousimar Palhares (2012-01-14)
982,Roger Hollett,2,2336,Matt Hamill (2012-09-22)
983,Sam Sicilia,12,2336,Doo Ho Choi (2015-11-28)
984,Darrell Montague,3,2335,Kyoji Horiguchi (2014-05-10)
985,Greg Soto,3,2335,Nick Osipczak (2010-08-28)
986,Will Campuzano,4,2335,Sergio Pettis (2013-11-16)
987,Jessica Aguilar,3,2335,Claudia Gadelha (2015-08-01)
988,Rin Nakai,2,2334,Miesha Tate (2014-09-20)
989,Nam Phan,8,2334,Dennis Siver (2012-12-08)
990,Shannon Gugerty,5,2334,Clay Guida (2010-03-21)
991,Lee Murray,1,2333,Jorge Rivera (2004-01-31)
992,Aaron Simpson,11,2333,Mike Pierce (2012-10-05)
993,Gil Castillo,3,2333,Matt Hughes (2002-11-22)
994,Alexa Grasso,4,2333,Tatiana Suarez (2018-05-19)
995,Jake Hecht,3,2333,Rich Attonito (2011-12-10)
996,Kyle Noke,12,2333,Keita Nakamura (2016-07-13)
997,Jenel Lausa,4,2333,Magomed Bibulatov (2017-04-08)
998,Eiji Mitsuoka,2,2333,Takanori Gomi (2012-02-26)
999,Mitch Gagnon,7,2333,Renan Barao (2014-12-20)
1000,Edwin Dewees,3,2333,Chris Leben (2005-10-03)
1001,Brandon Wolff,2,2333,Ben Saunders (2008-12-10)
1002,Dhiego Lima,6,2333,Eddie Gordon (2014-07-06)
1003,Nicolas Dalby,4,2333,Zak Cummings (2016-04-10)
1004,Vaughan Lee,8,2332,Raphael Assuncao (2013-06-08)
1005,Marina Rodriguez,1,2332,Randa Markos (2018-09-22)
1006,Yuki Kondo,3,2331,Tito Ortiz (2000-12-16)
1007,Spencer Fisher,17,2331,Hermes Franca (2007-01-25)
1008,John Phillips,1,2330,Charles Byrd (2018-03-17)
1009,Chris Sanford,1,2330,Josh Koscheck (2005-04-09)
1010,Zubaira Tukhugov,4,2330,Phillipe Nover (2015-12-10)
1011,Pete Sell,7,2330,Nate Quarry (2007-09-19)
1012,Felipe Arantes,12,2330,Erik Perez (2016-11-05)
1013,Alexey Kunchenko,1,2330,Thiago Alves (2018-09-15)
1014,James Irvin,10,2329,Anderson Silva (2008-07-19)
1015,Damon Jackson,3,2329,Levan Makashvili (2016-01-30)
1016,Carmelo Marrero,4,2328,Cheick Kongo (2006-10-14)
1017,Yoshiyuki Yoshida,5,2328,Josh Koscheck (2008-12-10)
1018,Anton Zafir,2,2328,James Moontasri (2015-11-15)
1019,Ken Stone,4,2328,Scott Jorgensen (2011-06-04)
1020,Igor Pokrajac,13,2328,Vinny Magalhaes (2012-09-22)
1021,Fabiano Scherner,2,2328,Brandon Vera (2005-10-03)
1022,Josh Neer,15,2328,Nate Diaz (2008-09-17)
1023,Alessio Sakara,15,2328,Brian Stann (2012-04-14)
1024,Jeremy Kimball,4,2328,Dominick Reyes (2017-12-02)
1025,Damacio Page,3,2327,Brian Bowles (2011-03-03)
1026,Levan Makashvili,3,2327,Hacran Dias (2015-06-27)
1027,Marlon Vera,9,2327,John Lineker (2017-10-28)
1028,Kevin Casey,7,2327,Rafael Natal (2016-01-30)
1029,Caio Magalhaes,7,2326,Nick Ring (2013-12-07)
1030,Jordan Radev,2,2326,Dean Lister (2007-12-29)
1031,Rory Singer,4,2326,Yushin Okami (2006-12-30)
1032,Travis Fulton,2,2325,Pete Williams (1999-05-07)
1033,Alptekin Ozkilic,4,2325,John Lineker (2014-07-16)
1034,Irene Aldana,4,2325,Lucie Pudilova (2018-09-08)
1035,Nick Catone,8,2325,Costas Philippou (2011-03-19)
1036,Jorge Rivera,15,2325,Michael Bisping (2011-02-27)
1037,Alvin Robinson,4,2324,Nate Diaz (2008-01-23)
1038,Ednaldo Oliveira,2,2324,Francimar Barroso (2013-08-03)
1039,Enrique Barzola,6,2324,Matt Bessette (2018-01-20)
1040,Xavier Foupa-Pokam,2,2324,Denis Kang (2009-04-18)
1041,Paul Kelly,9,2324,Donald Cerrone (2011-02-05)
1042,Talita Bernardo,2,2324,Marion Reneau (2017-09-02)
1043,Steve Bosse,3,2323,James Te Huna (2016-03-20)
1044,Chris Heatherly,2,2323,Ben Saunders (2014-08-23)
1045,Jon Tuck,9,2323,Norman Parke (2013-10-26)
1046,Royce Gracie,13,2323,Ken Shamrock (1995-04-07)
1047,Jocelyn Jones-Lybarger,3,2323,Tecia Torres (2015-12-12)
1048,Houston Alexander,6,2322,Keith Jardine (2007-05-26)
1049,Michael Kuiper,4,2322,Tom Lawlor (2013-04-06)
1050,Louis Gaudinot,5,2322,Kyoji Horiguchi (2015-01-03)
1051,Willie Gates,4,2322,John Moraga (2014-12-13)
1052,Rob Broughton,3,2322,Travis Browne (2011-09-24)
1053,Adam Milstead,3,2322,Jordan Johnson (2018-03-03)
1054,Daichi Abe,3,2321,Li Jingliang (2018-06-23)
1055,Steve Cantwell,6,2321,Riki Fukuda (2012-02-26)
1056,Scott Askham,6,2320,Jack Hermansson (2016-09-03)
1057,Francisco Trevino,3,2320,Johnny Case (2015-06-13)
1058,Scott Jorgensen,12,2320,Urijah Faber (2013-04-13)
1059,Devin Clark,5,2320,Mike Rodriguez (2018-04-07)
1060,Horacio Gutierrez,2,2320,Teruto Ishihara (2016-08-06)
1061,Azamat Gashimov,2,2320,Ivan Menjivar (2012-11-17)
1062,Yan Cabral,5,2319,Johnny Case (2015-11-07)
1063,Makwan Amirkhani,5,2319,Arnold Allen (2017-03-18)
1064,Brian Foster,5,2319,Chris Lytle (2010-02-21)
1065,Robbie Peralta,8,2319,Clay Guida (2015-04-04)
1066,T.J. O'Brien,2,2319,Cole Miller (2011-08-14)
1067,Ryan Thomas,2,2318,Matt Brown (2008-11-15)
1068,Eugene Jackson,7,2318,Keiichiro Yamamiya (1999-11-19)
1069,Ulka Sasaki,8,2318,Wilson Reis (2017-02-11)
1070,Tae Hyun Bang,5,2317,Mairbek Taisumov (2014-01-04)
1071,Brad Katona,1,2317,Jay Cucciniello (2018-07-06)
1072,Semmy Schilt,2,2317,Pete Williams (2001-05-04)
1073,Vitor Miranda,7,2316,Abu Azaitar (2018-07-22)
1074,Matt Hobar,3,2316,Sergio Pettis (2014-12-06)
1075,Bruno Santos,3,2315,Chris Camozzi (2014-07-05)
1076,Shinsho Anzai,4,2315,Jake Matthews (2018-06-23)
1077,Josh Ferguson,2,2315,Chris Cariaso (2012-07-11)
1078,Cole Miller,20,2315,Max Holloway (2015-02-14)
1079,Paul Taylor,9,2315,Marcus Davis (2007-09-08)
1080,Cody Gibson,4,2315,Manvel Gamburyan (2014-09-27)
1081,Luis Ramos,2,2315,Matt Brown (2012-06-22)
1082,Anthony Torres,2,2314,Jess Liaudin (2007-09-08)
1083,Gadzhimurad Antigulov,3,2314,Marcos Rogerio de Lima (2016-11-19)
1084,Luis Henrique,6,2314,Marcin Tybura (2017-03-04)
1085,Hector Sandoval,4,2314,Wilson Reis (2016-07-30)
1086,Damian Grabowski,3,2314,Derrick Lewis (2016-02-06)
1087,Luis Pena,1,2314,Richie Smullen (2018-07-06)
1088,Marco Beltran,6,2314,Deiveson Figueiredo (2017-06-03)
1089,Antonio Carvalho,4,2314,Darren Elkins (2013-03-16)
1090,Niklas Backstrom,3,2313,Tom Niinimaki (2014-05-31)
1091,Nick Hein,7,2313,James Vick (2014-11-22)
1092,Joe Charles,4,2313,Vitor Belfort (1997-12-21)
1093,Alex White,8,2312,James Krause (2018-01-14)
1094,Shamar Bailey,3,2312,Evan Dunham (2011-09-17)
1095,Henrique da Silva,6,2311,Jonathan Wilson (2016-06-04)
1096,Doug Evans,2,2311,Roger Huerta (2007-06-23)
1097,Ryan Couture,2,2311,Ross Pearson (2013-04-06)
1098,Josh Stansbury,3,2310,Devin Clark (2016-12-03)
1099,Jeff Curran,3,2310,Scott Jorgensen (2011-10-29)
1100,Jonavin Webb,2,2310,Nathan Coy (2016-02-21)
1101,Terry Martin,6,2310,Jason Lambert (2006-04-15)
1102,Bobby Nash,3,2310,Danny Roberts (2017-07-16)
1103,J.C. Cottrell,2,2310,Michel Prazeres (2016-07-23)
1104,Cory Hendricks,1,2310,Josh Stansbury (2016-07-08)
1105,Jason Lambert,8,2310,Renato Sobral (2007-03-03)
1106,Kyle Bradley,4,2310,Joe Lauzon (2008-09-17)
1107,Sean McCorkle,3,2310,Stefan Struve (2010-12-11)
1108,Frank Shamrock,5,2309,Tito Ortiz (1999-09-24)
1109,Issei Tamura,3,2309,Raphael Assuncao (2012-07-11)
1110,Josh Shockley,2,2309,Ivan Jorge (2015-02-22)
1111,Nick Pace,3,2309,Miguel Torres (2011-11-19)
1112,Felix Mitchell,3,2309,Ken Shamrock (1994-09-09)
1113,John Albert,5,2309,Ivan Menjivar (2012-02-15)
1114,Kevin Jackson,4,2309,Jerry Bohlander (1998-03-13)
1115,Brad Blackburn,5,2309,Ryo Chonan (2008-12-27)
1116,Oskar Piechota,3,2309,Gerald Meerschaert (2018-07-06)
1117,John Cofer,2,2308,Mike Rio (2012-12-15)
1118,Chad Reiner,2,2308,Josh Burkman (2007-01-25)
1119,Pingyuan Liu,1,2308,Damian Stasiak (2018-07-22)
1120,Paddy Holohan,5,2307,Louis Smolka (2015-10-24)
1121,Daniel Spitz,3,2307,Walt Harris (2018-06-01)
1122,Drew McFedries,9,2307,Thales Leites (2008-10-25)
1123,Phil De Fries,5,2307,Rob Broughton (2011-11-05)
1124,Robert Whiteford,5,2307,Lucas Martins (2016-04-10)
1125,Seth Petruzelli,4,2307,Ricardo Romero (2010-07-03)
1126,Sijara Eubanks,1,2307,Lauren Murphy (2018-06-01)
1127,Justine Kish,4,2307,Felice Herrig (2017-06-25)
1128,Cain Carrizosa,2,2307,Chris Wade (2014-08-30)
1129,James Moontasri,6,2306,Kevin Lee (2015-07-15)
1130,Din Thomas,9,2306,Kenny Florian (2007-09-19)
1131,Jason Young,4,2306,Dustin Poirier (2011-06-11)
1132,Sage Northcutt,8,2306,Zak Ottow (2018-07-14)
1133,Mitch Clarke,7,2306,Al Iaquinta (2014-05-24)
1134,Drew Dober,11,2306,Olivier Aubin-Mercier (2016-12-10)
1135,Paige VanZant,7,2306,Bec Rawlings (2016-08-27)
1136,Luigi Fioravanti,9,2306,Diego Sanchez (2008-06-21)
1137,Wilson Gouveia,10,2305,Nate Marquardt (2009-02-21)
1138,Guido Cannetti,4,2305,Kyung Ho Kang (2018-01-14)
1139,Gasan Umalatov,4,2305,Cathal Pendred (2014-10-04)
1140,Rory Markham,3,2305,Nate Diaz (2010-03-27)
1141,Marion Reneau,9,2305,Jessica Andrade (2015-02-22)
1142,Marcus Aurelio,6,2305,Tyson Griffin (2008-07-05)
1143,Wagner Silva,2,2304,Colby Covington (2014-11-08)
1144,Cody Donovan,4,2304,Ovince Saint Preux (2013-08-17)
1145,Cyril Asker,5,2304,Tai Tuivasa (2018-02-11)
1146,Jose Alberto Quinonez,5,2304,Diego Rivas (2017-08-05)
1147,Claudio Puelles,2,2304,Felipe Silva (2018-05-19)
1148,Waylon Lowe,4,2304,Nik Lentz (2011-03-26)
1149,Papy Abedi,4,2303,Thiago Alves (2011-11-05)
1150,Carlos Newton,7,2303,Pat Miletich (2001-05-04)
1151,Jesse Ronson,3,2303,Kevin Lee (2014-07-06)
1152,Ryan Parker,1,2303,Remco Pardoel (1995-09-08)
1153,Marco Ruas,6,2303,Oleg Taktarov (1995-12-16)
1154,Trevin Giles,2,2302,James Bochnovic (2017-07-08)
1155,Pete Spratt,7,2302,Josh Koscheck (2005-08-06)
1156,Scott Holtzman,7,2302,Alan Patrick (2018-10-06)
1157,Michihiro Omigawa,7,2302,Chad Mendes (2011-02-05)
1158,Joby Sanchez,4,2302,Wilson Reis (2014-08-23)
1159,Dave Beneteau,6,2302,Oleg Taktarov (1995-12-16)
1160,Patrick Smith,6,2302,Royce Gracie (1994-03-11)
1161,Trevor Prangley,4,2301,Jeremy Horn (2005-11-19)
1162,Erik Perez,9,2301,Felipe Arantes (2016-11-05)
1163,Jared Hamman,7,2301,C.B. Dollaway (2011-08-14)
1164,Tom Duquesnoy,3,2301,Cody Stamann (2017-10-07)
1165,Junior Assuncao,5,2301,Ross Pearson (2011-12-30)
1166,Rolando Dy,4,2301,Alex Caceres (2017-06-17)
1167,Gillian Robertson,3,2301,Molly McCann (2018-05-27)
1168,Bill Mahood,1,2300,Forrest Griffin (2005-06-04)
1169,Brian Gassaway,1,2300,Diego Sanchez (2005-08-20)
1170,Collin Hart,1,2300,Luke Barnatt (2013-04-13)
1171,DeAnna Bennett,1,2300,Melinda Fabian (2017-12-01)
1172,Frank Caracci,1,2300,LaVerne Clark (1999-01-08)
1173,Joao Roque,1,2300,Jens Pulver (2000-06-09)
1174,Joe Son,1,2300,Keith Hackney (1994-12-16)
1175,John Dowdy,1,2300,Guy Mezger (1995-04-07)
1176,John Marsh,1,2300,Mike Van Arsdale (2005-04-16)
1177,Marcin Wrzosek,1,2300,Julian Erosa (2015-12-11)
1178,Mark Schultz,1,2300,Gary Goodridge (1996-05-17)
1179,Melton Bowen,1,2300,Steve Jennum (1994-12-16)
1180,Paul Rodriguez,1,2300,Tony DeSouza (2001-06-29)
1181,Rainy Martinez,1,2300,Jerry Bohlander (1997-02-07)
1182,Richie Smullen,1,2300,Luis Pena (2018-07-06)
1183,Scott Baker,1,2300,Jason DeLucia (1994-03-11)
1184,Tim McKenzie,1,2300,Aaron Simpson (2009-04-01)
1185,Mark De La Rosa,2,2300,Tim Elliott (2017-12-30)
1186,Ashkan Mokhtarian,2,2300,John Moraga (2017-06-11)
1187,Phil Harris,5,2299,John Lineker (2013-10-26)
1188,Roland Delorme,7,2299,Ulka Sasaki (2014-08-23)
1189,Chris Cope,3,2299,Che Mills (2011-11-05)
1190,Kevin Burns,5,2299,Roan Carneiro (2008-06-07)
1191,Mike Ricci,3,2299,Myles Jury (2013-09-21)
1192,Tank Abbott,14,2299,Maurice Smith (1997-10-17)
1193,Tra Telligman,5,2299,Pedro Rizzo (1999-05-07)
1194,Joe Proctor,8,2299,Bryan Barberena (2017-04-22)
1195,DaMarques Johnson,10,2298,Mike Swick (2012-08-04)
1196,Darko Stosic,1,2298,Jeremy Kimball (2018-07-22)
1197,Poliana Botelho,2,2298,Syuri Kondo (2018-05-19)
1198,Dashon Johnson,2,2298,Jake Matthews (2014-06-28)
1199,Jon Delos Reyes,4,2298,Kyoji Horiguchi (2014-09-20)
1200,Martin Bravo,3,2297,Alex Caceres (2018-07-06)
1201,Mike Brown,6,2296,Steven Siler (2013-08-17)
1202,Marcelo Aguiar,1,2296,Matt Hughes (2000-06-09)
1203,Fernando Bruno,2,2296,Glaico Franca (2015-08-01)
1204,Brendan O'Reilly,4,2295,Alan Jouban (2016-03-20)
1205,Ramsey Nijem,10,2295,Andrew Holbrook (2015-07-25)
1206,Razak Al-Hassan,2,2295,Steve Cantwell (2008-12-10)
1207,Shunichi Shimizu,1,2295,Kyung Ho Kang (2014-01-04)
1208,Eddie Ruiz,1,2295,Yves Edwards (2003-06-06)
1209,Aiemann Zahabi,2,2294,Ricardo Ramos (2017-11-04)
1210,James Wilks,4,2294,Matt Brown (2009-11-14)
1211,Krzysztof Soszynski,9,2294,Brandon Vera (2009-08-29)
1212,Jens Pulver,9,2294,B.J. Penn (2007-06-23)
1213,Renee Forte,4,2294,John Makdessi (2013-09-21)
1214,Antoni Hardonk,8,2294,Cheick Kongo (2009-04-18)
1215,Dave Menne,6,2293,Josh Koscheck (2006-06-28)
1216,Cristina Stanciu,2,2293,Maryna Moroz (2016-04-10)
1217,Ryan McGillivray,1,2293,Shamar Bailey (2011-06-04)
1218,Joey Beltran,10,2293,James Te Huna (2012-07-11)
1219,Pat Miletich,10,2293,Shonie Carter (2001-06-29)
1220,Yves Jabouin,10,2293,Eddie Wineland (2014-01-25)
1221,Cristiano Marcello,4,2293,Kazuki Tokudome (2013-03-03)
1222,Clifford Starks,3,2293,Ed Herman (2012-02-04)
1223,Sirwan Kakai,2,2292,Frankie Saenz (2015-08-08)
1224,Kristof Midoux,1,2291,Jake O'Brien (2006-08-17)
1225,Jason DeLucia,4,2290,Royce Gracie (1994-03-11)
1226,Pearl Gonzalez,2,2290,Cynthia Calvillo (2017-04-08)
1227,Alexandre Pantoja,4,2290,Brandon Moreno (2018-05-19)
1228,Viscardi Andrade,4,2290,Gasan Umalatov (2015-11-07)
1229,Andre Winner,6,2290,Dennis Siver (2010-11-13)
1230,Lance Benoist,4,2290,Sean Pierson (2012-09-22)
1231,Mark Eddiva,4,2289,Levan Makashvili (2015-05-16)
1232,Jeremy Jackson,2,2289,Nick Diaz (2003-09-26)
1233,Keith Wisniewski,4,2289,Ivan Jorge (2013-09-04)
1234,Oli Thompson,2,2289,Shawn Jordan (2012-03-03)
1235,Ildemar Alcantara,7,2288,Albert Tumenov (2014-02-15)
1236,Scott Junk,1,2288,Christian Wellisch (2007-09-22)
1237,Estevan Payan,3,2288,Jeremy Stephens (2013-05-25)
1238,Curtis Stout,2,2288,Trevor Prangley (2004-06-19)
1239,Tim Hague,5,2288,Matt Mitrione (2011-01-22)
1240,Danny Downes,2,2287,Jeremy Stephens (2011-06-04)
1241,Tommy Hayden,2,2287,Fabricio Camoes (2012-01-20)
1242,Gilbert Aldana,2,2287,Paul Buentello (2006-02-04)
1243,Cody Pfister,4,2287,James Moontasri (2015-02-14)
1244,Mickey Gall,5,2287,Randy Brown (2017-11-04)
1245,Amir Sadollah,11,2287,Brad Blackburn (2010-01-11)
1246,Chris Beal,5,2287,Neil Seery (2015-01-24)
1247,John Maguire,5,2287,John Hathaway (2012-09-29)
1248,Josh Sampo,4,2286,Zach Makovsky (2014-02-22)
1249,Kris McCray,3,2286,John Hathaway (2011-03-26)
1250,Dwayne Cason,2,2286,Mark Kerr (1997-10-17)
1251,John Lewis,2,2286,Jens Pulver (2000-11-17)
1252,Ji Yeon Kim,3,2286,Justine Kish (2018-01-27)
1253,Melinda Fabian,2,2285,Ji Yeon Kim (2018-06-23)
1254,Shane Howell,2,2285,Ray Borg (2014-06-28)
1255,Filip Pejic,1,2285,Damian Stasiak (2016-04-10)
1256,Julie Kedzie,2,2285,Bethe Correia (2013-12-07)
1257,Elizabeth Phillips,4,2285,Raquel Pennington (2016-08-20)
1258,Cody McKenzie,7,2285,Chad Mendes (2012-07-07)
1259,Charlie Ward,2,2284,Abdul Razak Alhassan (2016-11-19)
1260,Brian Cobb,1,2284,Terry Etim (2009-02-21)
1261,Gabe Ruediger,3,2283,Joe Lauzon (2010-08-28)
1262,Jack May,2,2283,Shawn Jordan (2014-08-16)
1263,Tor Troeng,4,2283,Rafael Natal (2013-09-04)
1264,Carlo Prater,3,2283,TJ Grant (2012-05-15)
1265,Luke Zachrich,3,2282,Caio Magalhaes (2014-04-19)
1266,Terry Etim,11,2282,Edson Barboza (2012-01-14)
1267,Rob MacDonald,3,2282,Jason Lambert (2006-03-04)
1268,Edward Faaloloto,2,2282,Terry Etim (2011-11-05)
1269,Naoyuki Kotani,5,2281,Norman Parke (2014-07-19)
1270,Richard Walsh,6,2281,Kiichi Kunimoto (2014-09-20)
1271,Jimy Hettes,6,2281,Dennis Bermudez (2014-03-15)
1272,Andreas Stahl,2,2280,Santiago Ponzinibbio (2015-12-10)
1273,Elias Garcia,1,2280,Mark De La Rosa (2018-07-14)
1274,Sarah Moras,4,2280,Lucie Pudilova (2018-02-18)
1275,Tim Lajcik,3,2280,Tsuyoshi Kosaka (1999-07-16)
1276,Brodie Farber,2,2280,Rory Markham (2008-07-19)
1277,Luke Caudillo,2,2280,Marcus Aurelio (2007-11-17)
1278,Alex Chambers,5,2279,Livia Renata Souza (2018-09-22)
1279,Erick Montano,3,2279,Randy Brown (2016-09-17)
1280,Michel Quinones,2,2279,Jared Gordon (2017-06-25)
1281,Junior Hernandez,2,2279,Lucas Martins (2013-09-04)
1282,Wendell Oliveira,2,2279,Darren Till (2015-05-30)
1283,Steven Siler,9,2278,Darren Elkins (2012-11-17)
1284,Dan Cramer,2,2278,Matthew Riddle (2009-08-08)
1285,Ricardo Romero,3,2278,Kyle Kingsbury (2011-02-05)
1286,Kevin Jordan,2,2278,Paul Buentello (2005-06-04)
1287,Khalil Rountree Jr.,6,2277,Andrew Sanchez (2016-07-08)
1288,Derrick Noble,1,2277,Thiago Alves (2006-04-15)
1289,Chuck O'Neil,1,2277,Chris Cope (2011-06-04)
1290,Said Nurmagomedov,1,2277,Justin Scoggins (2018-07-14)
1291,Thiago Perpetuo,3,2277,Omari Akhmedov (2013-11-09)
1292,Neil Grove,1,2276,Mike Ciesnolevicz (2009-02-21)
1293,Ryan Madigan,1,2276,Tamdan McCrory (2009-03-07)
1294,Pablo Garza,6,2276,Dustin Poirier (2011-11-12)
1295,Devin Powell,3,2275,Drakkar Klose (2017-01-15)
1296,Joe Brammer,2,2275,Mark Bocek (2009-12-05)
1297,Bec Rawlings,7,2275,Tecia Torres (2017-02-04)
1298,Nick Osipczak,5,2275,Matthew Riddle (2009-11-14)
1299,Marcus LeVesseur,3,2275,Abel Trujillo (2012-12-08)
1300,Brad Gumm,2,2275,Shonie Carter (2000-03-10)
1301,Jumabieke Tuerxun,3,2274,Marcus Brimage (2014-11-07)
1302,Justin Buchholz,5,2274,Terry Etim (2009-06-13)
1303,Jorge Lopez,2,2274,Amir Sadollah (2012-05-15)
1304,Reza Nasri,1,2274,Brian Johnston (1996-09-20)
1305,Karlos Vemola,6,2274,Francis Carmont (2012-07-11)
1306,Anthony Birchak,4,2274,Thomas Almeida (2015-11-07)
1307,Steve Bruno,3,2273,Chris Wilson (2008-08-09)
1308,Andrei Semenov,2,2273,Ricardo Almeida (2002-01-11)
1309,Caros Fodor,1,2273,Sam Stout (2013-02-23)
1310,Eric Wisely,2,2273,Charles Oliveira (2012-01-28)
1311,Tim Gorman,2,2273,Mitch Gagnon (2014-04-16)
1312,Lipeng Zhang,4,2273,Chris Wade (2015-01-18)
1313,Remco Pardoel,5,2272,Royce Gracie (1994-03-11)
1314,Keiichiro Yamamiya,1,2272,Eugene Jackson (1999-11-19)
1315,Koji Kitao,1,2272,Mark Hall (1996-05-17)
1316,Molly McCann,1,2272,Gillian Robertson (2018-05-27)
1317,Junie Browning,2,2272,Cole Miller (2009-04-01)
1318,Ulysses Gomez,2,2272,Phil Harris (2013-02-16)
1319,Leonardo Augusto Guimaraes,2,2272,Antonio Carlos Junior (2016-09-17)
1320,Hector Ramirez,2,2271,Forrest Griffin (2007-06-16)
1321,Rony Mariano Bezerra,3,2271,Sam Sicilia (2012-10-13)
1322,Sheila Gaff,2,2270,Sara McMann (2013-04-27)
1323,Yadong Song,2,2270,Felipe Arantes (2018-06-23)
1324,Justin Salas,7,2270,Thiago Tavares (2013-11-09)
1325,Matthew Riddle,12,2270,Che Mills (2013-02-16)
1326,Charles McCarthy,3,2269,Michael Bisping (2008-04-19)
